nome_do_orgao,med_dilma,med_dilma_e_temer,med_bolsonaro
MTur - Ministério do Turismo (Turismo e Cultura),0.005499177735441567,,0.009569010653416367
PETROBRAS – Petróleo Brasileiro S.A.,0.14020640396911752,0.06785622897514794,0.07299546972667097
PREVIC – Superintendência Nacional de Previdência Complementar,0.08002417703910233,0.048017611444097365,0.04790463373064354
SERPRO – Serviço Federal de Processamento de Dados,0.037229008320692064,0.0415204678362573,0.11707775905698407
SGPR – Secretaria-Geral da Presidência da República,0.012670878415518666,0.0314243008538942,0.0464264493787783
SUSEP – Superintendência de Seguros Privados,0.0044134544490601335,0.005887264507982067,0.005175918015973866
TRANSPETRO - Petrobras Transporte S.A,,,0.07855139223988794
UFABC – Fundação Universidade Federal do ABC,,0.033708691081448534,0.0415985854968093
UFAC – Fundação Universidade Federal do Acre,,,
UFAL – Universidade Federal de Alagoas,,0.007248111212789499,0.024698481929532334
UFAM – Fundação Universidade do Amazonas,,,0.016997718191263802
UFBA – Universidade Federal da Bahia,,0.012730508725960266,0.012556466536730133
UFC – Universidade Federal do Ceará,,0.0202003669355028,0.0274004527231935
UFCG – Universidade Federal de Campina Grande,,,0.004218740628730367
UFERSA-RN – Universidade Federal Rural do Semi-Árido,0.0422263450834879,,
UFES – Universidade Federal do Espírito Santo,,0.008684028912861833,0.024038461538461498
UFF – Universidade Federal Fluminense,0.014800429507919865,0.008340039834645267,0.07268117394629187
UFG – Universidade Federal de Goiás,,,0.022568331344757265
UFJF – Universidade Federal de Juiz de Fora,0.010761326402827067,0.010505865357839,0.0136905091256886
UFLA – Universidade Federal de Lavras,,0.03390772067454507,0.03804410034445487
UFMA – Fundação Universidade Federal do Maranhão,0.020799512987012932,,0.0038485169142496666
UFMG – Universidade Federal de Minas Gerais,0.02871810127026817,0.0159650830623948,0.015299820679334301
UFMS – Fundação Universidade Federal de Mato Grosso do Sul,0.0375063128227685,,0.026343365629079865
UFMT – Fundação Universidade Federal de Mato Grosso,,0.009558282777046333,0.0163692765322581
UFOP – Fundação Universidade Federal de Ouro Preto,,0.0178210654137383,0.027281922730171267
UFOPA – Universidade Federal do Oeste do Pará,,,
UFPA – Universidade Federal do Pará,,,
UFPB – Universidade Federal da Paraíba,0.022233958043944197,0.010787863086861233,0.017408606088767365
UFPE – Universidade Federal de Pernambuco,0.023560128782637867,0.0195037860041197,0.017520714010870398
UFPI – Fundação Universidade Federal do Piauí,,,
